file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Condo/Coop Status Before Vacancy	Duration of Vacancy	Housing Unit Weight (5 implied decimal places)	Monthly Asking Rent Per Room Recode	Monthly asking rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Reason Unit Not Available for Rent or Sale	Sequence Number (Household)	Status Prior to Vacancy	Status of Vacant Unit	Sub-borough Area	Type of schedule	Vacant Unit Respondent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Don't know	Less than 1 month	019340501	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	207776	Don't know	Not available for rent or sale	03	Not available	Real estate agent/broker
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	1 to 2 months	018576599	0000	11797	Other rental	1 bedrooms	3 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	568094	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Less than 1 month	019340501	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	100 units or more	Not applicable	Rented, not yet occupied	389301	Renter occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	3 to 6 months	019340501	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	100 units or more	421-A	Held for occasional use, seasonal or recreational use	003550	Renter occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	Don't know	Not reported	018576599	1250	05000	Other rental	2 bedrooms	4 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	935336	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	Less than 1 month	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	630590	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	3 to 6 months	021861641	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	581772	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	Less than 1 month	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	972271	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	6 to 12 months	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	4 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	878956	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	1 to 2 months	019079532	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	100 units or more	J-51	Sold, not yet occupied	348810	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Less than 1 month	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	20 to 49 units	Not applicable	Held for occasional use, seasonal or recreational use	795813	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Don't know	1 year or more	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	100 units or more	J-51	Held for occasional use, seasonal or recreational use	915683	Don't know	Not available for rent or sale	04	Not available	Not reported
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	3 to 6 months	017435837	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	4 rooms	50 to 99 units	421-A	Held for occasional use, seasonal or recreational use	022674	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	3 to 6 months	021506045	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	50 to 99 units	421-A	Unit or building is undergoing renovation	767081	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a condominium	6 to 12 months	028056678	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	100 units or more	Not applicable	Unit or building is undergoing renovation	571414	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	3 to 6 months	019079532	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	2 rooms	100 units or more	Not applicable	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	045350	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	3 to 6 months	019079532	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	2 rooms	100 units or more	Not applicable	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	507251	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	6 to 12 months	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	849279	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	3 to 6 months	019079532	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	100 units or more	Not applicable	Sold, not yet occupied	948266	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	Less than 1 month	021861641	1725	03450	Other rental	1 bedrooms	2 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	092418	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a cooperative	1 year or more	021861641	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	100 units or more	J-51	Held for occasional use, seasonal or recreational use	075931	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	1 year or more	020753122	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	50 to 99 units	J-51	Unit or building is undergoing renovation	189282	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	1 year or more	028056678	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	100 units or more	Not applicable	Unit or building is undergoing renovation	237357	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	2 to 3 months	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	128499	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	1 to 2 months	021861641	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	725537	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Less than 1 month	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	112358	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Less than 1 month	019079532	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	254655	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Less than 1 month	016960553	1000	03000	Other rental	1 bedrooms	3 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	943277	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	Less than 1 month	020753122	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	J-51	Rented, not yet occupied	956190	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	2 to 3 months	021861641	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	694969	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	1 year or more	018717295	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	There is a legal dispute involving the unit	909584	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	Not reported	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	417473	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	1 to 2 months	017435837	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	J-51	Held for occasional use, seasonal or recreational use	980394	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	3 to 6 months	018717295	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	5 units	Not applicable	Held for occasional use, seasonal or recreational use	403297	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Not reported	017340441	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	117828	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	2 to 3 months	019079532	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	2 rooms	100 units or more	Not applicable	Rented, not yet occupied	506243	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	3 to 6 months	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	961130	Don't know	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	3 to 6 months	017340441	1600	01600	Other rental	No bedroom	1 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	500807	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	1 to 2 months	017340441	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	908476	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Less than 1 month	020753122	0500	01500	Other rental	1 bedrooms	3 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	406085	Don't know	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	6 to 12 months	018717295	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-private coop	No bedroom	1 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	312176	Renter occupied	Available for sale only	04	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	2 to 3 months	017435837	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	421-A	Held for occasional use, seasonal or recreational use	310632	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	6 to 12 months	016960553	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	100 units or more	421-A	Held for occasional use, seasonal or recreational use	073631	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	1 year or more	016960553	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	713726	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Less than 1 month	020329842	0973	02920	Other rental	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	579081	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	2 to 3 months	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	100 units or more	421-A	Held for occasional use, seasonal or recreational use	629532	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Don't know	Less than 1 month	021861641	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	471729	Never previously occupied	Not available for rent or sale	04	Not available	Superintendent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Less than 1 month	017340441	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	2 rooms	100 units or more	Not applicable	Unit or building is undergoing renovation	937875	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	1 to 2 months	021506045	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-private coop	1 bedrooms	3 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	246485	Owner occupied	Available for sale only	04	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	Less than 1 month	020753122	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	251847	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	2 to 3 months	018803070	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	100 units or more	Not applicable	Unit or building is undergoing renovation	671184	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	1 to 2 months	017435837	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	20 to 49 units	Not applicable	Held for occasional use, seasonal or recreational use	527941	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	3 to 6 months	018717295	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Held for occasional use, seasonal or recreational use	751720	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Not reported	016960553	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	100 units or more	Not applicable	Unit or building is undergoing renovation	074777	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	6 to 12 months	020329842	1392	01392	Stabilized post 1947	No bedroom	1 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	100020	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	6 to 12 months	019079532	1419	01419	Stabilized post 1947	No bedroom	1 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	530236	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	1 to 2 months	019079532	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Unit or building is awaiting renovation	533388	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	6 to 12 months	019079532	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	946288	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	1 year or more	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	810568	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	3 to 6 months	016960553	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	831282	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Not reported	020329842	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	4 rooms	50 to 99 units	Not applicable	Held for occasional use, seasonal or recreational use	621367	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	Less than 1 month	018736204	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	740815	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	1 to 2 months	020329842	0833	02500	Other rental	1 bedrooms	3 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	330731	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	1 to 2 months	019079532	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	50 to 99 units	Not applicable	Unit or building is undergoing renovation	197937	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	6 to 12 months	020753122	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Unit or building is undergoing renovation	464040	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	3 to 6 months	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	100 units or more	J-51	Held for occasional use, seasonal or recreational use	234166	Don't know	Not available for rent or sale	05	Not available	Real estate agent/broker
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	3 to 6 months	018525009	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	157955	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	Less than 1 month	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	863797	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	6 to 12 months	020306370	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	7 rooms	50 to 99 units	Not applicable	Held for occasional use, seasonal or recreational use	275964	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	1 to 2 months	018525009	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	100 units or more	Not applicable	Unit or building is undergoing renovation	663517	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	1 to 2 months	022893532	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Sold, not yet occupied	785546	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Yes, a cooperative	1 year or more	018717295	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	926498	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a cooperative	Don't know	3 to 6 months	020025739	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	100 units or more	Not applicable	Held for other reasons	715486	Don't know	Not available for rent or sale	05	Not available	Real estate agent/broker
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	1 year or more	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	4 bedrooms	6 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	289084	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	1 year or more	018525009	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	860377	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	1 year or more	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	652876	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	1 year or more	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	232747	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	3 to 6 months	018938191	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	10 to 12 units	Not applicable	Unit or building is awaiting renovation	178152	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	Yes, a condominium	2 to 3 months	018722511	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	100 units or more	421-A	Sold, not yet occupied	832354	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
