file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Condo/Coop Status Before Vacancy	Duration of Vacancy	Housing Unit Weight (5 implied decimal places)	Monthly Asking Rent Per Room Recode	Monthly asking rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Reason Unit Not Available for Rent or Sale	Sequence Number (Household)	Status Prior to Vacancy	Status of Vacant Unit	Sub-borough Area	Type of schedule	Vacant Unit Respondent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	021048853	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	6 to 9 units	Not applicable	Unit or building is awaiting renovation	334953	Renter occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	018460077	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	6 to 9 units	Not applicable	Unit or building is awaiting renovation	588526	Renter occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	Yes, a condominium	Yes, a condominium	Not reported	020876110	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	2 bedrooms	4 rooms	13 to 19 units	421-A	Not applicable (available for rent or available for sale only)	668632	Not reported	Available for sale only	07	For sale	Not reported
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	Not reported	021048853	0280	01400	Other rental	2 bedrooms	5 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	756589	Never previously occupied	Available for rent	08	For rent (old construction)	Superintendent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	Don't know	Not reported	021048853	0280	01400	Other rental	2 bedrooms	5 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	873897	Don't know	Available for rent	08	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	Less than 1 month	016025798	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	6 to 9 units	Not applicable	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	467855	Owner occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	3 to 6 months	020876110	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-conventional	2 bedrooms	5 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	038197	Never previously occupied	Available for sale only	03	For sale	Superintendent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	020549329	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	2 units without business	Not applicable	Unit or building is undergoing renovation	061978	Renter occupied	Not available for rent or sale	10	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	Not reported	Less than 1 month	021048853	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	1 unit without business	Not applicable	There is a legal dispute involving the unit	850894	Not reported	Not available for rent or sale	10	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	021048853	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	2 units without business	Not applicable	Held for occasional use, seasonal or recreational use	079696	Owner occupied	Not available for rent or sale	11	Not available	Rental office/agent
