file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Monthly Contract Rent	Most Recent Place Householder Lived For 6 Months or More	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Sequence Number (Household)	Sub-borough Area	Tenure (1)	Tenure (2)	Year Householder Moved into Unit Recode
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00422	Bronx	Public housing	2 bedrooms	4 rooms	20 to 49 units	  	817056	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00250	Bronx	Public housing	3 bedrooms	5 rooms	20 to 49 units	  	944506	01	N/A (renter)	Pay cash rent	1970-1979
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00400	Bronx	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	  	712054	01	N/A (renter)	Pay cash rent	2000-2002
uf_14_occ_web_b.txt	2014	Bronx	Sound	Coop	00700	Other unit in same building	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	  	928230	01	N/A (renter)	Pay cash rent	2003-2005
uf_14_occ_web_b.txt	2014	Bronx	Sound	Coop	00400	Bronx	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	597064	01	N/A (renter)	Pay cash rent	1970-1979
uf_14_occ_web_b.txt	2014	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Bronx	Owner occupied private cooperative	3 bedrooms	5 rooms	50 to 99 units	  	456667	01	Owned or being bought	Not applicable (owner occupied)	1970-1979
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00709	Bronx	Stabilized pre 1947	1 bedrooms	3 rooms	5 units	  	112368	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00650	Puerto Rico	Other rental	3 bedrooms	5 rooms	3 units	  	829004	01	N/A (renter)	Pay cash rent	1980-1984
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01500	Not reported	Other rental	1 bedrooms	3 rooms	3 units	  	327018	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01500	Bronx	Other rental	3 bedrooms	4 rooms	3 units	  	799994	01	N/A (renter)	Pay cash rent	2006-2008
